,title,keywords
497,Антикризисная Leica,"Xiaomi, Yi, Yi Technology, фото, фотоаппарат, камера"
498,Facebook представила Backpack — второе поколение модульных маршрутизаторов для дата-центров,"свитч, маршрутизатор, backpack, 100G, 40G, маршрутизация, сети"
499,Управление инфраструктурой ЦОД: выбираем оптимальное DCIM-решение,"dcim, дата-центры, как выбрать, hi-tech"
500,Лень двигатель прогресса. Генератор задач. Часть 2,"преподавание, алгоритмы, программирование, разработка"
501,Итоги розыгрыша призов от Kingston. «Оперативный» розыск счастливчиков,HyperX
502,Ламповое гитарное усиление – парадокс долговечности тренда,"музык, усилители, лампы, ламповый звук, гитары, звук и музыка, гитарный усилитель, ламповая техника, ламповая электроника, история"
503,Ученые изучили связь между использованием смартфона и ухудшением сна,"здоровье, сон, смартфоны"
504,Как делают бумажные деньги,"бумажные деньги, как делают деньги, купюры, банкноты, производство денег"
505,Может ли компьютерная книга оставаться актуальной через 30 лет после написания?,VM/SP CMS СВМ
506,Делаем очередную .io-игру,"браузерные игры, javascript, c++, webgl, websockets, сервер"
507,6 типичных ошибок при заключении договоров на разработку ПО,разработка
508,О моем опыте в Crossover,"Crossover, удаленная работа, работа и учеба, опыт в компании"
509,"Дональд Кнут о своей счастливой жизни, своей смерти и о последних двух проектах","Кнут, алгоритмы, искусство программирования, edisonsoftware"
510,Ранний релиз или выдержанный?,"open source, debian linux"
511,Как провести «Час Кода»: казахстанский опыт,"образование, казахстан, час кода 2016, hour of code"
512,"Почему «мотивирующие» статьи не работают, не сработают и как устроена мотивация на самом деле","мотивация, психология, желания"
513,Жульничество во «всемирный день шопинга» наглядно,"жульничество, aliexpress, caveat emptor, моноколесо, скидки, обман"
514,Автоматизированное тестирование плагинов Redmine,"redmine, plugin, travis ci, testing"
515,Принтер Canon Laser Shot LBP-1120 и принт-сервер на базе Raspberry Pi,"windows 64 bit, canon lbp, printer, linux, raspberry pi"
516,"Эволюция гоночных игр, часть 3","игры, игрушки, гонки, история, игровые приставки, игровые консоли"
517,Зачем и как переносить безопасность корпоративной электронной почты в облако. Часть 1,"saas сервисы, Panda Email Protection, saas приложения, электронная почта, антивирус, антиспам, почтовый файервол, информационная безопасность"
518,"Проблемы, с которыми мы столкнулись при обновлении интерфейса PVS-Studio","c#, .net, visual studio, interface, gui, icons, pvs-studio"
519,Product API от Fetchee: автоматический парсинг товаров интернет-магазинов,"api, json, интернет-магазины, парсер, парсинг контента, слежение за ценами, data mining"
520,Freeform распознавание речи в реальном времени и распознавание записей звонков,"voximplant, asr, speech recognition, google"
521,"Аудиодайджест #12: Как построить домашний кинотеатр, и что можно узнать о производстве акустики","аудиомания, дайджест, аудиодайджест, акустика, домашний кинотеатр"
522,"Jasmine vs. Mocha, Chai и Sinon","javascript test, jasmine, mocha, sinon.js, chai.js"
523,Пятничный формат: «Нельзя просто так взять и объяснить непрограммисту…»,"1cloud, управление проектами, разработка"
524,Linkedin заблокируют за неисполнение закона «о персональных данных»,"Роскомнадзор, linkedin, мосгорсуд, блокировка, социальная сеть, регулирование интернета, ""о персональных данных"""
525,Конкурс на ZeroNights 2016 от Mail.Ru Group,"zeronights, mail.ru, iot, взлом, конференция"
526,Наконец-то приличный отечественный процессор ЦОС – 1967BH28,"DSP, FPGA, ЦОС, процессор, ADSP-TS201S, 1967BH28"
527,TDD не работает,"tdd, тестирование, разработка"
528,Отмена роуминга в ЕС. Финиш?,"comfortway, cwsim, roaming, gsm, lte, mobile, gsma"
529,"Первая работа, или как не надо разрабатывать под iOS","ios development, ios разработка"
530,Прокси-сервер с помощью Tor. Основа для многопоточного парсинга,"unix, tor, privoxy, proxy, proxy-server"
531,"Недетские развлечения: о том, как виртуальная реальность трансформирует индустрию ХХХ","клубничка, физиология, гаджеты"
532,Как работают ИТ-специалисты. Андрей Домась — ведущий системный администратор в социальной сети «Одноклассники»,"highload++, конференция для разработчиков, интервью с разработчиками, системное администрирование"
533,Обнаружена связь между дисфункцией митохондрий и болезнью Альцгеймера,"болезнь альцгеймера, деменция, митохондрии, митохондриальная днк"
534,Женщины и убийства: есть ли тут взаимосвязь? [часть 2 из 2],"демография, открытые данные, R, карты, соотношение полов, преступность, проверка исследования, научный скепсис, доверяй но проверяй, sex ratio, homicide rate"
535,Модуль Posh-SSH простой доступ к SSH и SCP из PowerShell,"powershell, ssh"
536,"Спросите Итана №104: что, если бы у нас было четыре пространственных измерения?","спросите итана, измерения, вселенная, гравитация"
537,«Послание в никуда»: Как не отправить письмо несуществующему адресату,"pechkin.com, рассылка email, email-маркетинг"
538,Salt за 10 минут,"Salt Stack, salt-master, salt-minion"
539,PlayStation 4 Pro: впереди паровоза,"бандеролька, sony, playstation, консоль, консольные игры, приставки, виртуальная реальность, sony playstation, ps4, игры, игровые приставки, игровые консоли, sony playstation vr, sony playstation 4, шлем vr, шлем виртуальной реальности, sony playstation 4 pro, PS 4 Pro, call of duty, 4к, HDR, xbox, обзор, новинки, mafia, battlefield, microsoft"
540,Разработка требований для противоречащих законодательств,"аналитика, законодательство, инвестиционный банк, Luxoft, заказная разработка, SECR-2016"
541,"Думаешь, ты знаешь Си?","C, программирование, задачки, разработка, тестирование, edisonsoftware"
542,Решения VMware для репликации и аварийного восстановления: vSphere Replication и Site Recovery Manager (SRM),"vmware, vsphere, esxi, СХД, storage, VVOL"
543,Как Tesla Motors и SpaceX едва не исчезли в 2008-м,"тесла моторс, банкротство, инвестиции в стартапы, space x, планирование"
544,"Includor.js, или @j includor","HTML, JavaScript, jsincludes, Includor.js"
545,Qt / QML REST Client,"qt, rest, qt quick, api, json, xml"
546,Строительные 3D-принтеры и наш опыт работы с ними,3d-принтеры
547,CTF от Bi.Zone на ZeroNights2016,"ctf, Bi.Zone, zeronights, ZN16"
548,IoT в вендинговом бизнесе: интеллектуальный торговый автомат,"IoT, разработка, торговый автомат, Intel IoT Development Kit"
549,Приглашаем на онлайн-конференцию GeekWeek 2016,"mail.ru, geek week, geekbrains, конференция, онлайн"
550,Немного о квантовой криптографии,"квантовая криптография, информационная безопасность"
551,"История shareware, изначального варианта организации покупок внутри приложения","shareware, adware, условно-бесплатное по, программное обеспечение"
552,Мозговой имплантат позволил снова ходить парализованным обезьянам,"приматы, спинной мозг, повреждения, паралич"
553,Игровые форумы: инструкция к использованию для комьюнити-менеджера и разработчика,"форум, комьюнити, управление сообществом, комьюнити-менеджер, комьюнити-менеджмент"
554,Первые шаги в оптимизации и полировке игры на Unity3d,"unity3d, C#, mono, оптимизация, splash racing"
555,Повышение производительности SQL Server с помощью системы хранения начального уровня MSA 2042,"HPE, MSA, 3PAR, SQL Server, Demartek"
556,Разработка комплекта электрификации велосипеда,"Транспорт будущего, Железо, Гаджеты, электроника"
557,Анализ вредоносного расширения Google chrome,"javascript, реверс-инжиниринг, малварь, вредоносная реклама"
558,Нюансы эксплуатации лазеров на недорогих DIY CNC machine (ЧПУ станки) и 3D-принтерах,"лазер, гравировка, лазерная резка, безопасность, управление"
559,"Отчет о результатах «Моего круга» за октябрь 2016, и самые популярные вакансии месяца","вакансии, работа, IT-индустрия, IT-отрасль, мой круг, moikrug, статистика, тренды"
560,фМРТ определяет ложь лучше полиграфа,"полиграф, детектор лжи, фмрт"
561,Gentoo — это возможность выбора,"linux, gentoo, systemd"
562,"Security Week 45: обход двухфакторной авторизации в OWA, перехват аккаунтов GMail, уязвимость в OpenSSL","klsw, openssl, owa, 2fa, gmail"
563,No way back: Почему я перешел с Java на Scala и не собираюсь возвращаться,"java, scala, holywar"
564,Могут ли компьютеры и ИИ стать изобретателями?,"патенты, изобретения"
565,NIST рекомендует: строительные блоки для описания IoT,"iot, NIST, reference architecture, стандартизация, semiformal notation"
566,"Установка salt-master, salt-minion на RHEL / CENTOS","Salt Stack, salt-master, salt-minion"
567,Конфигурация Salt,"Salt Stack, salt-master, salt-minion"
568,Хакаем CAN шину авто для голосового управления,"can bus, can шина, raspberry pi, siri, умный автомобиль"
569,HTC запускает предзаказ Wireless Kit для шлема виртуальной реальности Vive,"VR, ВР, HTC Vive, виртуальная реальность, wi-fi, беспроводные технологии"
570,Полезные возможности dbForge для администрирования баз данных MS SQL Server,"MS SQL Server, dbForge"
571,"Что бывает, когда о гитарном ламповом звуке пишет человек далекий от этой сферы","музыка, звук, гитарные усилители, ламповый усилитель"
572,Математика в JavaScript,"javascript, математика"
573,Что такое мотивация на самом деле: какие желания мы игнорируем больше всего,"потребности, желания, тело"
574,"Всем, кто ненавидит тёмную материю","тёмная материя, монд"
575,"О мотивации, эффективности и контроле времени — взгляд с неочевидной стороны","мотивация, психология, фриланс"
576,Принимая PHP всерьёз,"опять этот пхп, hhvm, hacklang"
577,"Британские учёные рассказали о том, как появились «британские учёные»","британские ученые, наука, мемчики, научные исследования"
578,"Вы не супергерои: пожалуйста, прекратите ставить себе задачи, с которыми вы пока что не справляетесь","психология, мотивация, эффективность"
579,«Браузерная война» Google Chrome продолжается — вести с полей,"google chrome, интернет, перспективы, рынок браузеров, статистика, конкуренция"
580,Шишки и грабли Android-разработчика за 2 года,"android, разработка, программирование, edisonsoftware"
581,Консолька в роботе на Ардуине,"arduino, роботы, babbler"
582,Лекции Технотрека. Основы веб-разработки (весна 2016),"разработка, web, технотрек, mail.ru"
583,"Сайт Добродел готов помочь, но хотят ли этого окружающие?","несанкционированные свалки мусора, экология"
584,Установка PROXMOX 4.3 на Soft-RAID 10 GPT,"proxmox 4, raid10, postfix"
585,Анонс митапа ThinkPHP #13,ThinkPHP #13
586,"Сборка nginx: CentOS 6.8, документы и грабли","nginx, centos 6, source code, install"
587,Вредоносная программа Retefe используется для компрометации пользователей онлайн-банкинга,malware
588,Настройка FullMesh сети на Mikrotik через EoIP туннели,"Mikrotik, OSPF, EoIP, FullMesh"
589,Когда во Вселенной появился первый свет?,"свет, вселенная, большой взрыв, реликтовое излучение, кмфи"
590,Легко ли учить людей делать сайты?,"вёрстка, обучение"
591,Физика в мире животных: стрекозы и их полет,"стрекозы, полет, физика, аэродинамика"
592,Онлайн курс по компьютерным сетям начального уровня,"компьютерные сети, онлайн-курсы, сетевые протоколы"
593,Заменяем тестирование алгоритмов тестированием вносимых эффектов,"tdd, repository pattern, solid, software architecture"
594,"Как мы среду Arduino на 8051 натягивали, или ОС на один процесс","arduino ide, z-wave, iot, интернет вещей, операционная система, z-uno"
595,Реализация классификации текста свёрточной сетью на keras,"машинное обучение, natural language processing"
596,Сделать завтра. Как не тратить время на мелочи,"читальный зал, сделать завтра, управление, тайм-менеджмент, таймменеджмент, эффективность"
597,Пробрасываем USB–ключ в облако (Linux клиент — Linux сервер),"usb redirection, cloud, dedicated server, usb redirector, проброс usb, облако"
598,История компании IBM,"IBM, перфокарты, история компьютеров, пластиковые карты, суперкомпьютеры, табуляторы, старое железо"
599,Велосипедный Agile,"agile, агил, разработка, управление проектом, edisonsoftware"
600,ФАС возбудила дело против Microsoft,"Microsoft, ФАС, Жалоба в ФАС, Лаборатория Касперского"
601,Гомельское Архитектурное Сообщество,"архитектура, архитектура приложений, гомель, сообщество разработчиков"
602,"О рабах, героях и рабах-героях","гераб, техногераб, мотивации. пирамида Маслоу, пассионарии, всегда есть место подвигу, не поле перейти."
603,Простой API gateway на базе PHP и Lumen,"микросервисы, docker, lumen, laravel, api gateway"
604,Принимаем электронную почту на Node.js,"node.js, smtp, email, электронная почта"
605,Устройство размером с флешку может выявить ВИЧ всего за полчаса,"спид, вич, иммунодефицит, электроника, медицинские гаджеты"
606,СМИ и история компьютерных вирусов,"вирусы, компьютерные вирусы, cih, червь морриса"
607,Реформа французской орфографии. Часть 2. Электронные словари,"французский язык, иностранные языки, электронные словари, онлайн переводчики"
608,Дайджест интересных материалов для мобильного разработчика #179 (7-13 ноября),"разработка приложений, Android, iOS, маркетинг, монетизация, мобильные устройства и приложения"
609,Представление данных SAP R/3 в Oracle Database с помощью SAP Java Connector,"oracle, java, sap, integration, oracle database, sap r/3, jco, connector, sap java connector"
610,VaR как способ оценки риска. Исторический метод,"управление рисками, финансы и банковская сфера, трейдинг"
611,Сканирование на терминальном сервере бесплатно,"php, windows, rdp, сканирование"
612,"Дешевые авиабилеты… Сеть мошеннических сайтов, ворующих деньги с карт. Второе расследование. При чём тут Промсвязьбанк?","авиабилеты, промсвязьбанк, фишинг, p2p, php, банковские карты, 3d secure, программирование"
613,Правильный полиморфный билдер на Java,"java, builder, generic"
614,Как еще использовать type safety в целях улучшения API,"swift 3, type safety, приемы, математика, Cocos2d, Fiber2D, строгая типизация"
615,Израильские разработчики смогли научить ИИ побеждать человека в Mortal Kombat,"mortal kombat, игры, искусственный интеллект"
616,"О сравнении объектов по значению — 3, или Type-specific Equals & Equality operators","C#, .NET, object equality, GetHashCode, Equals, IEquatable<T>, Equals(T), equality operators"
617,DRP-план в ИТ-компании и проверка его работоспособности,"дата-центр, drp--план, хьюстон у нас проблемы"
618,"PHP-Дайджест № 96 – интересные новости, материалы и инструменты (1 – 13 ноября 2016)","дайджест, новости, подборка, ссылки, веб-разработка, PHP, PHP 7, Symfony, Yii 2, Laravel"
619,"Одна простенькая задачка. Быстро, красиво или чисто?",python
620,Дайджест свежих материалов из мира фронтенда за последнюю неделю №236 (7 — 13 ноября 2016),"дайджест, фронтенд, css, js, es6, vue, react, angular, html5, браузеры, ссылки"
621,Объясняем бабушке: Как зашифроваться за час,"безопасность, хакеры, tor, edisonsoftware"
622,Спросите Итана №105: там ли мы ищем инопланетян?,"инопланетяне, поиск внеземных цивилизаций, радиосигналы, гравитационные волны, спросите итана"
623,Что-то с неба падает?,"Снег, дождь, град, прогноз погоды, метеостанция, метеорология"
624,Марсианские планы,"космонавтика, марс, космические аппараты"
625,CleverScrollbar.js — Сайдбар для понятной навигации,"юзабилити, навигация по сайту"
626,"Космические жилища, ч. 4: как мы будем жить на Венере","космос, планеты, колонизация, колонизация планет, космонавтика, космические кологии, Меркурий, Венера"
627,Log in или Log on? Front-end или Frontend? Продолжаем разбираться,"английский язык, технический писатель, документирование"
628,Терморегулятор для отопления своими руками,"электронные самоделки, устройства на микроконтроллере, терморегулятор для отопления"
629,Berkeley Unified Parallel C (UPC). Установка в среде Windows и Linux,"Berkeley Unified Parallel C, UPC, инструкция, сборка"
630,"Как я добавил 30000 человек в первый круг контактов, а эту соцсеть заблокируют в РФ","webdriver, java, mvn-classloader, chromium"
631,Парадокс Rimworld: захватывающая сюжетом «песочница»,"Rimworld, миры разлома, песочница, colony sim, менеджмент, сюжет, игра"
632,Головная гарнитура Helios использует технологию Intel RealSense для помощи людям с нарушениями зрения,"Helios, Intel RealSense"
633,Выпуск Rust 1.13,"rust, оптимизация, компилятор, eh?"
634,СМАРТ ТВ – будущее телевидения,"smart tv, интерактивное телевидение, javascript, reactive programming, reactive"
635,Клавиатура прилагается: обзор трансформера ASUS Transformer Mini,"ASUS Transformer Mini, трансформер"
636,Производительность межпроцессного обмена сообщениями в node.js,"node.js, ipc"
637,Делаем стартап просто и технологично. Маячки Eddystone,"Google, android, Eddystone, Bluetooth, Github, api, ibks, tool, ssl, https, маячки"
638,Новые-старые форматы: HD-винил и DIY-пластинки,"аудиомания, винил, виниловые пластинки, виниловые проигрыватели"
639,Шаг к «светлому SSD-будущему»,"Fujitsu, СХД, SSD, ETERNUS AF, vvol"
640,Функциональный TypeScript,"typescript, functional programming, es6, javascript"
641,IBM Power Systems S822LC как основа корпоративных IT,"IBM, сервера"
642,Без ТЗ: почему клиент не хочет его,"безтз, тз на программирование, тз на дизайн, тз, клиенты, клиентский сервис"
643,Трекинг конверсий после успешной отправки AJAX-формы заявки через Google Tag Manager (GTM),"Google Tag Manager, GTM, Google Analytics, Yandex Metrika, Google Adwords, marketing consulting, веб-аналитика, sales funnel"
644,Открытие студии мобильной разработки «с нуля» в Питере — 3.5 года спустя. Реинкарнация. Часть 3,"стартап, венчурные инвестиции, запуск бизнеса"
645,General Motors и IBM разработали мультимедийную систему с искусственным интеллектом для автомобилей,"ibm, general motors, умные системы, автомобили"
646,Есть ли будущее у InfiniBand на Hadoop?,"InfiniBand, Hadoop, кто кого, будущее, развитие сетевых технологий"
647,В сеть попала база данных (400 млн аккаунтов) сайтов Friend Finder Networks,"friendfinder network, FFN, leakedsource, аккаунты, взлом, база аккаунтов, шифрование"
648,"Как работают ИТ-специалисты. Алексей Рыбак, глава разработки Badoo","badoo, highload++, конференция для разработчиков, интервью с разработчиками"
649,"Вперёд в прошлое: телефоны 2006 года, которые мы покупали в России","Nokia, Sony Ericsson, Motorola, Siemens, BenQ Siemens, Samsung, телефоны, смартфоны"
650,Кружевные орнаменты на CSS,"CSS3, gradients"
651,"«Везде на связи»: Интернет на воде, в воздухе и космосе","vas experts, стандарты связи, ит-инфраструктура"
652,Semantic Scholar составил рейтинг самых влиятельных нейробиологов,"искусственный интеллект, semantic scholar, рейтинг, наука, цитируемость"
653,Сравнительный анализ Docker Engine на платформах Windows Server и Linux,"Docker, Dockerfile, Windows Server 2016, Linux"
654,Итоги контеста PwnFest,security
655,DDoS на российские банки. Хронология атаки,"инфосистемы джет, информационная безопасность, ddos-атака, банки"
656,Гарнитура HyperX Cloud Stinger: комфорт и отличная связь за разумные деньги,"Hyperx, гарнитура, stinger, микрофон, наушники, связь в играх"
657,История одного тестового задания,"ecwid, тестовое задание, hr-процесс, java"
658,"Кто ты по професии: Разница между «Programmer», «Software Engineer» и «Computer Scientist»","1cloud, программирование, Software Engineer, Computer Scientist"
659,Как создавался PVS-Studio под Linux,"статический анализ кода, компиляторы, pvs-studio, static code analysis, linux, cross-platform, crossplatform"
660,"Марсоход, Посадка","marsroverseries, mono repo, cqrs, event sourcing, tdd, phpspec"
661,"Лучшие IT-вакансии на «Моём круге» за неделю, 24-30 октября","мой круг, moikrug.ru, moikrug, вакансии, вакансии для it-специалистов, карьера, карьера в it-индустрии"
662,Класс удаленного прокси — это не (очень) больно,"remote proxy, ""cache"", nosql, mapreduce"
663,Как решать простые задачи оптимизации на питоне с помощью cvxpy,"python, tutorial, optimization"
664,В рамках проекта «Наука не мука» Сергей Бугаев «Африка» устроит искусствоведческий батл с научным миром,"наука, научно-популярное, научпоп, лекция, книги, наука не мука, издательство Питер"
665,Сети для самых матёрых. Часть двенадцатая. MPLS L2VPN,"сети для самых маленьких, MPLS, L2VPN, VPLS, EVPN, VXLAN, linkmeup, BGP, Martini, Kompella"
666,Приглашаем на Moscow Data Science Meetup 25 ноября,data science
667,"TechnoLive: Как продвигать свою игру среди тысяч конкурентов, Максим Самойленко","mail.ru, technolive, игры, продвижение"
668,СМИ узнали о новом способе перехвата паролей и PIN-кода с мобильных телефонов,"взлом, кибератаки, персональные данные, защита информации, безопасность платежей, сети передачи данных"
669,"7 аркадных игр, которые уже стали классикой, но всё ещё могут чему-то научить","геймдизайн, аркада, игра, Contra, Dungeons & Dragons, Double Dragon, Q*Bert"
670,Поставлен новый рекорд скорости сборки кубика Рубика роботом,"кубик Рубика, робототехника, робот, рекорд, скоростная сборка, число Бога, AURIX, infineon, Sub1"
671,JetBrains Night в Москве. Видео. Интеграция серверных продуктов JetBrains друг с другом,"youtrack, agile, board, scrum, team tools, code review, bugtracking, bugtracker"
672,"Восстановление поврежденного раздела NTFS, если его уменьшили до минимального размера (0 байт свободно)","восстановление данных, восстановление разделов hdd, восстановление жесткого диска, ошибка монтирования NTFS, NTFS"
673,«Радиоактивный бойскаут» умер в возрасте 39 лет. Необычная история юного физика-ядерщика,"ядерная физика, энергетика, атомная энергия, биографии"
674,Фонари в Лас-Вегасе запитали от энергии Солнца и шагов пешеходов,"энергосбережение, экологичность, умные фонари, энергоэффективность, энергопотребление"
675,Простые миграции с PHPixie Migrate,"php, phpixie, framework, migrations"
676,11.11. Всемирная распродажа 1000 мелочей,"aliexpress, скидки, обман, исследование, распродажа, алиэкспресс"
677,Бравый справочник css-свойств для новичка,css
678,Разгоняем производительность iOS-приложений,"ios development, разработка, проектирование, мобильные приложения, сервисы, программирование, производительность, edisonsoftware"
679,"Утки, Таиланд и T-SQL… или что может подстерегать программистов при работе с SQL Server?","sql server, sql, t-sql, смертные грехи, грабли"
680,Немного о пустых интерфейсах. Быстрый взгляд изнутри,"Go, gdb, runtime, interface"
681,3D-принтер от Xiaomi — первое знакомство,"3d-печать, 3d-принтеры, android, xiaomi, 3d-принтер, 3d"
682,Глубокое обучение для новичков: распознаем изображения с помощью сверточных сетей,"neural networks, deep learning, machine learning, wunderfund"
683,Узнаем текущую погоду и прогноз простеньким скриптом на Python'е,"прогноз, погода, метеорология, метеостанция, JSON, APIs, Python"
684,Имплантат впервые помог полностью парализованной женщине общаться,"амиотрофический склероз, паралич, мозг"
685,Перевод отрывков из книги Роберта Хайнлайна «Заберите себе правительство» — часть 18,"политика, хайнлайн"
686,Автоматика из ДНК и белков: что у нее общего с электроникой?,"биология, генные сети, системная биология, схемотехника"
687,Создание меню с помощью программы FLProg,"arduino, diy или сделай сам, flprog, fbd, программирование микроконтроллеров"
688,У природы нет плохой погоды,"метеостанция, росгидромет, экология, ветер, температура, влажность, давление, атмосфера"
689,Ко-итераторы на таймерах,"c#, WPF"
690,Конфигурирование среды приложений Sharepoint (SharePoint Add-ins),"sharepoint, apps, add-in"
691,От нуля к единице. Как я прошел путь от фрилансера до главного дизайнера за год,"дизайн, карьера в it-индустрии, карьера, развитие, саморазвитие, работа, цель"
692,Создание движка для блога с помощью Phoenix и Elixir / Часть 3. Добавление ролей,"wunsh, elixir, elixir-lang, phoenix, phoenix framework"
693,Пепелац с гравицапой — как я искала (и даже нашла) CRM для медицинского центра,"crm-системы, crm, медицинская информационная система"
694,Зачем и как переносить безопасность корпоративной электронной почты в облако. Часть 2,"saas сервисы, Panda Email Protection, saas приложения, электронная почта, антивирус, антиспам, почтовый файервол, информационная безопасность"
695,Новая версия решения по управлению бизнес-процессами JBoss BPM Suite увеличит роль использования микросервисов,"бизнес-процессы, микросервисы, ит-инфраструктура, метаданные"
696,learnopengl. Урок 1.6 — Текстуры,"c++, opengl, opengl 3, glfw"
697,Анонс встречи ThinkJava #4 (Харьков),ThinkJava #4
698,Онкология. Моя история. Часть первая,онкологические заболевания
699,Борьба за звук: диверсия против качества – интермодуляционные искажения,"звук, искажения, интермодуляции, аудиоаппаратура, качество звука, аудио, hi-fi, hi-end, физика, физика звука, акустика"
700,Как мы переводили сервер на php 7,"php, php 7, yii, php-fpm"
701,Дайджест почтовых сервисов: Избранные Email-продукты и подкасты по версии Product Hunt,"pechkin.com, email-дайджест, email-рассылка"
702,"Как создать информативный, но при этом удобный корпоративный сайт?","crm, интернет-магаизин, корпоративный сайт, проект, разработка сайта, оптимизация сайта, cms"
703,Техновости: главное в мире гаджетов за прошедшую неделю,"Бандеролька, apple, samsung, gopro, facebook, google, pixel, amazon, karma, vr, виртуальная реальность, youtube, джетпак, jetpack, jetpack aviation, фильмы, гарри поттер, цукерберг, daydream, шлем vr, шлем виртуальной реальности"
704,"Connect(); // 2016: Программа, онлайн-трансляция и бонус","connect, visual studio, azure, mobile development, xamarin"
705,Как работают ИТ-специалисты. Игорь Сысоев — основатель и СТО в Nginx,"nginx, highload++, конференция для разработчиков, интервью с разработчиками, игорь сысоев"
706,Книга «Веб-разработка. Исчерпывающее руководство»,книги
707,"Mobio Talks c Ириной Шашкиной, CEO Lingualeo","lingualeo, mobio, продвижение мобильных приложений, образование, английский язык онлайн"
708,Google Pixel: «родной» телефон Google и его возможности,"google pixel, смартфоны, телефоны, android, google"
709,Протокол QUIC: переход Web от TCP к UDP,QUIC
710,23 бесплатных инструмента расследования инцидентов для специалиста по информационной безопасности,информационная безопасность
711,ICQ: 20 лет — не предел,"mail.ru, icq, технологии, эволюция"
712,Простыми словами: как работает машинное обучение,"машинное обучение, технологии, лаборатория касперского, просто о сложном"
713,Android In-app Billing: от мобильного приложения до серверной валидации и тестирования,"android, android development, android sdk, billing, google api"
714,Что не так с отображением символов валют в iOS,"ios, ios-разработка, ios development, objective-c"
715,"Как за 3 шага определить «горячих» лидов, чтобы сделать продажу и почему 95% компаний этого не умеют","сегментация, активация, повышение конверсии, intercom"
716,Разработчик: подушка безопасности,"подушка безопасности, разработчик, карьера в it-индустрии, говнокод"
717,"Как потерять несколько миллионов, работая непонятно с кем","ios разработка, android apps, мобильная разработка, стартап, ios, android, социальные сети и сообщества"
718,Остатки 11.11 сладки: ещё 7 приятных девайсов,"китайские магазины, китайский телефон, китайские товары, jd, jd.ru, 1111, распродажа"
719,"Выбросы парниковых газов стабилизировались, но глобальная температура продолжает расти","углекислый газ, парниковый эффект, глобальное потепление, экология"
720,Тестирование мобильных приложений: интервью с Dan Cuellar (Appium),"тесты, тестирование мобильных приложений, heisenbug, Appium"
721,Калькулятор для тов. Косыгина,"калькулятор, ссср, косыгин, история ит"
722,Немного о дисковой производительности Windows VM в Proxmox VE. Результаты бенчмарков ZFS и MDADM+LVM,"proxmox, windows, kvm, benchmark, lvm, mdadm, raid10, raid"
723,Решение пасхалки из анонса CTF от Bi.Zone,"ctf, bi.zone, zn16, zeronights"
724,Как управляется вертикаль небоскреба «Лахта центр»?,"Лахта центр, небоскреб, мегастройка, геодезисты, Петербург, осадка и усадка, геомониторинг"
725,"Создание и тестирование Firewall в Linux, Часть 1.1 Виртуальная лаборатория","linux, kernel module, firewall, char device, netfilter, sysfs, virtualbox"
726,Коротко и просто о сложном – маршрутизация в «8-800»,"8-800, Freephone, MegaFon, фрифон, бесплатный вызов, маршрутизация, Routing"
727,Иллюзии мозга. Картографические проекции,"географические карты, проекция Меркатора, глобус, карта мира"
728,"Первые победители Telegram BotPrize получат $200,000","телеграм, telegram, telegram bots, PR, призовой фонд"
729,Решение проблемы понимания контекста искусственным интеллектом. Часть 1,"искусственный интеллект, семантическая сеть, алгоритмы, сильный ии"
